A,1,B,289,998
A,2,B,121,849
A,3,B,37,892
M,1,B,289,998
A,4,B,216,1172
A,5,B,275,1084
A,6,B,352,1145
M,4,B,167,1252
A,7,S,57,1217
T,57,1217
M,4,B,110,1252
X,7,S,57,1217
A,8,B,321,1391
A,9,S,126,1559
X,9,S,126,1559
A,10,S,332,1611
X,10,S,332,1611
M,4,B,269,1252
X,1,B,289,998
A,11,S,165,1646
A,12,B,127,1044
X,11,S,165,1646
A,13,B,14,1122
A,14,S,265,1663
A,15,B,316,1038
M,8,B,321,1391
A,16,B,116,1006
X,12,B,127,1044
X,16,B,116,1006
A,17,B,120,1050
A,18,S,230,1129
T,230,1129
M,8,B,91,1391
X,18,S,230,1129
A,19,B,105,1028
A,20,B,166,1032
A,21,S,217,1174
T,91,1174
T,126,1174
X,8,B,91,1391
M,21,S,126,1174
M,4,B,143,1252
X,21,S,126,1174
X,14,S,265,1663
X,20,B,166,1032
X,17,B,120,1050
A,22,S,235,1015
T,143,1015
T,92,1015
X,4,B,143,1252
M,22,S,92,1015
M,6,B,260,1145
X,22,S,92,1015
A,23,S,55,1164
A,24,B,152,963
M,23,S,55,988
T,55,988
M,6,B,205,1145
X,23,S,55,988
A,25,S,291,1208
X,25,S,291,1208
A,26,S,142,1260
M,26,S,302,1260
A,27,S,266,1021
T,205,1021
T,14,1021
T,47,1021
X,6,B,205,1145
M,27,S,61,1021
X,13,B,14,1122
M,27,S,47,1021
M,5,B,228,1084
X,27,S,47,1021
A,28,S,315,996
T,228,996
T,87,996
X,5,B,228,1084
M,28,S,87,996
M,15,B,229,1038
X,28,S,87,996
A,29,B,232,873
A,30,B,306,850
A,31,S,2,983
T,2,983
M,15,B,227,1038
X,31,S,2,983
A,32,S,232,984
T,227,984
T,5,984
X,15,B,227,1038
M,32,S,5,984
M,19,B,100,1028
X,32,S,5,984
A,33,B,143,942
A,34,S,187,989
T,100,989
X,19,B,100,1028
M,34,S,87,989
X,2,B,121,849
A,35,S,29,999
X,24,B,152,963
A,36,S,186,945
X,30,B,306,850
A,37,S,20,984
A,38,S,8,836
T,8,836
M,33,B,135,942
X,38,S,8,836
M,33,B,99,942
X,37,S,20,984
A,39,B,337,989
T,186,945
T,87,989
M,39,B,151,989
X,36,S,186,945
M,39,B,64,989
X,34,S,87,989
M,39,B,64,989
A,40,S,225,909
T,64,909
T,99,909
X,39,B,64,989
M,40,S,161,909
X,33,B,99,942
M,40,S,62,909
M,29,B,323,716
A,41,B,301,949
T,62,909
M,41,B,239,949
X,40,S,62,909
A,42,B,55,818
M,41,B,18,949
A,43,B,247,753
A,44,B,6,890
X,3,B,37,892
A,45,B,82,769
X,41,B,18,949
A,46,B,233,979
M,35,S,29,878
T,29,878
M,46,B,204,979
X,35,S,29,878
A,47,B,332,996
A,48,B,261,793
X,42,B,55,818
A,49,S,183,982
T,183,982
M,47,B,149,996
X,49,S,183,982
M,26,S,59,1260
M,26,S,367,1260
A,50,B,27,817
A,51,B,30,922
M,45,B,82,769
M,47,B,256,830
A,52,S,250,996
M,46,B,295,852
A,53,B,6,897
A,54,B,303,874
A,55,B,223,975
M,52,S,250,900
T,223,900
T,27,900
X,55,B,223,975
M,52,S,27,900
M,51,B,3,922
X,52,S,27,900
A,56,B,220,769
A,57,S,148,994
M,26,S,367,1260
M,51,B,203,922
X,47,B,256,830
A,58,S,7,876
T,7,876
M,51,B,196,922
X,58,S,7,876
A,59,B,202,779
X,26,S,367,1260
A,60,B,142,980
A,61,S,338,877
T,142,877
T,196,877
X,60,B,142,980
M,61,S,196,877
X,51,B,196,922
M,61,S,0,877
X,57,S,148,994
A,62,B,139,913
A,63,S,51,834
T,51,834
M,62,B,88,913
X,63,S,51,834
A,64,S,126,949
X,64,S,126,949
M,50,B,346,817
M,44,B,218,1028
X,53,B,6,897
A,65,S,20,1074
X,50,B,346,817
X,65,S,20,1074
A,66,S,348,822
